STORE_NUM,CHEMICAL__,AKA1,AKA2,CLS,RPT_CDE,RPT_UNIT,MCL,NL,TRIGGER_AM,DLR,RPHL,CHEM_SORT_,PS
77562,"1,1,1,2-TETRACHLOROETHANE",,,P,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,"TETRACHLOROETHANE-1,1,1,2",
34506,"1,1,1-TRICHLOROETHANE","1,1,1-TCA",TCA,P,VOC,UG/L,200.00000,0.00000,0.00000,0.50000,200.00000,"TRICHLOROETHANE-1,1,1",P
34516,"1,1,2,2-TETRACHLOROETHANE",,,P,VOC,UG/L,1.00000,0.00000,0.00000,0.50000,1.00000,"TETRACHLOROETHANE-1,1,2,2",
81611,"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE",FREON 113,TRICHLOROTRIFLUOROETHANE,P,VOC,UG/L,1200.00000,0.00000,10.00000,10.00000,1200.00000,"TRICHLOROTRIFLUOROETHANE-1,1,2",
34511,"1,1,2-TRICHLOROETHANE","1,1,2-TCA",,P,VOC,UG/L,5.00000,0.00000,0.00000,0.50000,1.00000,"TRICHLOROETHANE-1,1,2",
34496,"1,1-DICHLOROETHANE","1,1-DCA",,P,VOC,UG/L,5.00000,0.00000,0.00000,0.50000,5.00000,"DICHLOROETHANE-1,1",
34501,"1,1-DICHLOROETHYLENE","1,1-DCE",,P,VOC,UG/L,6.00000,0.00000,0.00000,0.50000,6.00000,"DICHLOROETHYLENE-1,1",P
A-007,"1,1-DICHLOROPROPANE",,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"DICHLOROPROPANE-1,1",
77168,"1,1-DICHLOROPROPENE",,,P,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,"DICHLOROPROPENE-1,1",
77613,"1,2,3-TRICHLOROBENZENE",,,P,UB,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,"TRICHLOROBENZENE-1,2,3",
77443,"1,2,3-TRICHLOROPROPANE","1,2,3-TCP",,P,SOC,UG/L,0.00500,0.00000,0.00000,0.00500,0.00000,"TRICHLOROPROPANE-1,2,3",
7744X,"1,2,3-TRICHLOROPROPANE","1,2,3-TCP",,P,UA,UG/L,0.00500,0.00000,0.00000,0.00500,0.00000,"TRICHLOROPROPANE-1,2,3",
77221,"1,2,3-TRIMETHYLBENZENE",,,P,XX,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,"TRIMETHYLBENZENE-1,2,3",
34551,"1,2,4-TRICHLOROBENZENE",,,B,VOC,UG/L,5.00000,0.00000,0.00000,0.50000,0.00000,"TRICHLOROBENZENE-1,2,4",P
77222,"1,2,4-TRIMETHYLBENZENE",,,NL,UB,UG/L,0.00000,330.00000,0.00000,0.50000,0.00000,"TRIMETHYLBENZENE-1,2,4",
34536,"1,2-DICHLOROBENZENE",O-DCB,,P,VOC,UG/L,600.00000,0.00000,0.00000,0.50000,0.00000,DICHLOROBENZENE-1.2,P
34531,"1,2-DICHLOROETHANE","1,2-DCA",,P,VOC,UG/L,0.50000,0.00000,0.00000,0.50000,0.00000,"DICHLOROETHANE-1,2",P
34541,"1,2-DICHLOROPROPANE",D-D,,A,VOC,UG/L,5.00000,0.00000,0.00000,0.50000,5.00000,DICHLOROPROPANE-1.2,P
34346,"1,2-DIPHENYLHYDRAZINE",,,P,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"DIPHENYLHYDRAZINE-1,2",
77614,"1,3,5-TRICHLOROBENZENE",,,P,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"TRICHLOROBENZENE-1,3,5",
77226,"1,3,5-TRIMETHYLBENZENE",MESITYLENE,,NL,UB,UG/L,0.00000,330.00000,0.00000,0.50000,0.00000,"TRIMETHYLBENZENE-1,3,5",
34566,"1,3-DICHLOROBENZENE",M-DCB,,P,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,"DICHLOROBENZENE-1,3",
77173,"1,3-DICHLOROPROPANE",,,P,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,"DICHLOROPROPANE-1,3",
