SYSTEM_NO,SYSTEM_NAM,HQNAME,ADDRESS,CITY,STATE,ZIP,ZIP_EXT,POP_SERV,CONNECTION,AREA_SERVE
2800064,DAKOTA SHY WINERY,,771 Sage Canyon Road,ST. HELENA,CA,94574,,30,1,
5403214,,THREE RIVERS HISTORICAL MUSEUM,42268 SIERRA DR,THREE RIVERS,CA,93271,,25,2,
4000829,VINES R.V. RESORT,,88 WELLSONA,PASO RO,CA,93446,,400,1,
0103039,MOHRLAND MUTUAL WATER SYSTEM,MOHRLAND MUTUAL,24927 Mohr Drive,HAYWARD,CA,94545,tt,116,99,
0103040,NORRIS CANYON PROPERTY OWNERS ASSN.,NORRIS CANYON P,8653 Norris Canyon Road,CASTRO VALLEY,CA,94552,S,50,19,
0103041,TRAILER HAVEN MOBILE HOME PARK,TRAILER HAVEN M,2399 East 14th Street SPC 28,SAN LEANDRO,CA,94577,6058,543,200,Trailer Haven Mobilehome Park
0103046,THE SEQUOIANS,,,,CA,,,0,0,
0103049,VAN COURT PUBLIC WATER SUPPLY,,,,CA,,,0,0,
0103050,CECILIA COURT WATER SYSTEM,CECILIA COURT W,,,CA,,,0,0,
0104001,WASHINGTON HOSPITAL HEALTHCARE SYSTEM,WASHINGTON HOSP,2000 Mowry Avenue,FREMONT,CA,94538,538,0,1,Washington Hospital Healthcare System
0104002,PYZER WATER SYSTEM,PYZER WATER SYS,,,CA,,,0,0,
0104003,WEIBEL WATER SYSTEM,WEIBEL WATER SY,,,CA,,,0,0,
0104004,U. S. PIPE AND FOUNDRY,U. S. PIPE AND,1295 Whipple Road,UNION CITY,CA,94587,rich,0,0,
0104006,FREMONT COMMUNITY CHURCH,FREMONT COMMUNI,,,CA,,,0,0,
0104010,MORTON SALT COMPANY,MORTON SALT COM,7380 Morton Avenue,NEWARK,CA,94560,560,10,1,Morton Salt Company
0104012,"VULCAN MATERIALS, CALMAT DIVISION",VULCAN MATERIAL,365 No Canyons Parkway,LIVERMORE,CA,94551,551,45,3,"Vulcan Materials, CalMat Div."
0104013,PLEASANTON GRAVEL COMPANY,PLEASANTON GRAV,P.O. Box 850,PLEASANTON,CA,94566,566,26,4,
0104014,HOSANNA HOMES - INACTIVE,,9990 Crow Canyon Rd,CASTRO VALLEY,CA,94552,9698,0,2,Verne Teyler
0105002,RIVERS END MARINA,RIVERS END MARI,"Route 1, Box 22A",DISCOVERY BAY,CA,94505,1951,250,4,
0105003,CEMEX/ELIOT PLANT,RMC-LONESTAR EL,5180 Golden Hills Parkway,PLEASANTON,CA,94566,6308,70,1,RMC-Lonestar Eliot Agregate Plant
0105004,MOUNTAIN HOUSE SCHOOL,,25165 FLANDERS DR.,CARMEL,CA,93923,,0,0,
0105006,"HANSON AGGREGATE MID-PACIFIC, INC.",HANSON PERMANEN,3000 Busch Road,PLEASANTON,CA,94566,566,78,1,
0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,CASTLEWOOD COUN,707 Country Club Circle,PLEASANTON,CA,94566,,499,194,
0105009,MOUNTAIN HOUSE SCHOOL,MOUNTAIN HOUSE,3950 Mountain House Road,BYRON,CA,94514,,24,3,
0105010,EBRPD - DEL VALLE REGIONAL PARK,EBRPD - DEL VAL,7000 Del Valle Road,LIVERMORE,CA,94605,605,10000,101,
0105011,EBRPD - SHADOW CLIFFS REGIONAL PARK,EBRPD - SHADOW,Stanley Blvd.,PLEASANTON,CA,94566,566,593,2,
0105012,EBRPD - SUNOL REGIONAL WILDERNESS,EBRPD - SUNOL R,,PLEASANTON,CA,94566,566,35,3,
0105013,EBRPD - REDWOOD SPRING REGIONAL PARK,EBRPD - REDWOOD,Redwood Road,OAKLAND,CA,94605,605,35,6,
0105014,EBRPD - GARIN REGIONAL PARK,EBRPD - GARIN R,End of Garin Road,HAYWARD,CA,94544,544,40,7,
0105015,EBRPD - MISSION PEAK REGIONAL PRESERVE,EBRPD - MISSION,P.O. Box 5381,OAKLAND,CA,94605,0381,10,1,
0105016,MOUNTAIN HOUSE BAR,MOUNTAIN HOUSE,8351 Rinuaro Court,TRACY,CA,95391,9210,25,1,Josie Alvarez
0105017,RANCHO LOS MOCHOS-BSA CAMP,,16784 W GRANT LINE RD,TRACY,CA,95391,9602,600,1,
0105018,PURPLE ORCHID RESORT SPA,,4549 Cross Rd,Livermore,CA,94550,,45,0,
0105020,ALAMEDA COUNTY FAIRGROUNDS,ALAMEDA COUNTY,4501 Pleasanton Ave,PLEASANTON,CA,94566,7001,82,3,Alameda County Fairgrounds
0105021,MOUNTAIN HOUSE GOLF COURSE,MOUNTAIN HOUSE,15000 Altamont Pass Rd,MOUNTAIN HOUSE,CA,95391,,0,1,Mountain House Golf Course
0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA COUNTY,P.O. Box 5110,FREMONT,CA,94537,537,340000,82487,"FREMONT NEWARK,UNION CITY"
0110003,CALIFORNIA WATER SERVICE - LIVERMORE,CWS LIVERMORE,195 South N Street,LIVERMORE,CA,94550,4350,56700,18043,LIVERMORE
0110005,EAST BAY MUD,EAST BAY MUD,375 Eleventh Street,OAKLAND,CA,94607,607,1379000,380450,W ALAMEDA/CONTRA COSTA CO
0110006,CITY OF HAYWARD,CITY OF HAYWARD,777 B Street,HAYWARD,CA,94541,5007,146398,31678,HAYWARD
0110008,CITY OF PLEASANTON,CITY OF PLEASAN,3333 Busch Road,PLEASANTON,CA,94566,0802,73067,21882,PLEASANTON
0110009,DUBLIN SAN RAMON SERVICES DISTRICT,DUBLIN-SAN RAMO,7051 Dublin Blvd.,DUBLIN,CA,94568,rson,75924,19011,
0110010,ZONE 7 WATER AGENCY,ZONE 7 WATER AG,100 N Canyon Pkwy,LIVERMORE,CA,94551,9486,40,13,Zone 7 Water Agency
0110011,CITY OF LIVERMORE,CITY OF LIVERMO,Water Resources Division,LIVERMORE,CA,94551,7632,27600,9359,LIVERMORE
0110012,TOWN OF SUNOL-SFPUC,TOWN OF SUNOL,SF Public Utilities Commission,SUNOL,CA,94586,,450,128,
0110013,STIVERS ACADEMY,STIVERS ACADEMY,Mr. Jack Stivers,LIVERMORE,CA,94550,550,90,1,
0110014,VILLA TASSAJARA,VILLA TASSAJARA,Mr. Rod Scott,PLEASANTON,CA,94566,,70,1,
0110015,PG&E - BETHANY COMPRESSOR STATION,PG&E - BETHANY,"375 North Wiget Lane, Suite 20",WALNUT CREEK,CA,94598,,5,1,
0110016,ALAMEDA POINT,CDR DONALD ORND,Alameda Point,ALAMEDA,CA,94501,5000,750,349,
0110017,BELVOIR SPRINGS,BELVOIR SPRINGS,Mission Blvd.,FREMONT,CA,94536,,0,3,
0110018,SFPUC-PLEASANTON WELLS,PLEASANTON WELL,,PLEASANTON,CA,95555,,1,1,
0110019,GOLDEN GATE CHURCH,,2950 Niles Canyon Road,FREEMONT,CA,94536,,50,1,
0110020,UTILITY VAULT,UTILITY VAULT,1901 Isabel Ave,LIVERMORE,CA,94550,,0,1,
0110650,USBR-SLDMWA - CVP JONES PUMPING PLANT,SAN LUIS & DELT,15990 Kelso Road,BYRON,CA,94514,1916,90,1,San Luis & Delta Mendota Water Authority
0110700,PARKS RFTA,USAR - PARKS RF,HQ Command - Bldg. 270,DUBLIN,CA,94568,568,0,123,
